rank,title,author,rating,reviews,price,url,description,publisher,publication_date
28,Swipe Right on Fate,Roxie Ray,,2720.0,,/Swipe-Right-Fate-Roxie-Ray-ebook/dp/B0GJ79LTJ6/ref=zg_bs_g_6190484011_d_sccl_28/132-4763799-3799248?psc=1,"He’s a vampire who never fit in. She’s a werewolf with no wolf. He’s lonely. She’s done settling. And for once, a human dating app feels like a level playing field. Then ByChance throws them together as a “PERFECT match”… and fate immediately starts getting in the way. But when their first date goes sideways and his “normal guy” act melts away, they’re forced to face the truth: love doesn’t care if you fit in. It cares if you’ve finally found someone who sees you. Perfect for readers who love: – Paranormal rom-coms with heart – Outcasts finding home in each other – Cozy chaos & laugh-out-loud chemistry – Valentine’s Day vibes with fangs and fur Read more",Special Fiction Books,"January 22, 2026"
29,Zodiac Academy 9: Restless Stars,Caroline Peckham,4.5,37785.0,,/Zodiac-Academy-9-Caroline-Peckham-ebook/dp/B0CHS9CQT8/ref=zg_bs_g_6190484011_d_sccl_29/132-4763799-3799248?psc=1,"Orphans. Changelings. Princesses. Queens. We are all and nothing now, our fate weighed on the scales of the stars and counterbalanced by the forces that oppose us. The shadow of the false king spreads as thick as oil across the kingdom we were born to rule, and none remain untouched by its darkness. Our crowns lay within reach if only we can claim them. All souls are at risk now and when the final battle dawns, a new regime will rise. The time for the true reckoning is upon us and we have proven ourselves as savage as our father, as brutal as our mother, and as wild as the Elements which roar through our veins. We can only hope it is enough. When the last sword strikes the final death in this game of fate and fortune, only one side will be victorious. The Starfall Legion charges at first light. And our destiny rides upon our shoulders as we rush into the end. All hail the True Queens. May our rule last longer than this night. ***This is a dark fantasy romance – don’t go expecting a sweet school for magic with friends around every corner. Fae fight for everything they own and Zodiac Academy is a cutthroat school for students aged 18+ where only the strongest prevail. There’s no Dumbledore here to save anyone’s ass and Lionel Acrux will give Voldemort a run for his money in the evil dictator category. So hold onto your stardust (broomsticks not required) and get ready for a bumpy ride***",King's Hollow,"April 23, 2024"
30,Beast Business,Ilona Andrews,4.8,2847.0,,/Beast-Business-Ilona-Andrews-ebook/dp/B0GKJ2ZQFD/ref=zg_bs_g_6190484011_d_sccl_30/132-4763799-3799248?psc=1,"A thrilling novella by #1 New York Times bestselling author Ilona Andrews, set in the spellbinding Hidden Legacy World. Show as little as possible. Make them think that illusion is all you have. Your life depends on it. Augustine Montgomery is an Illusion Prime, the highest rank of magic user. The people who have seen his real face can be counted on the fingers of one hand. The people who've witnessed the full extent of his power are dead. Illusion isn’t just his brand of magic. It’s become his lifestyle. One day Diana Harrison walks into the office of Augustine’s premier PI corporation. Diana is also a Prime, a mage who bonds with animals through her magic and prefers their company to humans. Something precious has been stolen from House Harrison. Something Diana must recover at all costs before it perishes. Augustine is cold, rational, and calculating. He doesn’t get emotionally involved, but something about Diana disturbs the careful balance of Augustine’s inner world. She asks for his help, and he can’t refuse. Neither Augustine nor Diana are who they appear to be. Both would die to keep their secrets. But the enemy they face is unimaginably powerful, and saving the life at risk will demand the ultimate price, one neither ever expected to pay – complete honesty.",NYLA,"January 29, 2026"
31,Chased by My Grumpy Alpha: A Forbidden Runaway Mate Grumpy Sunshine Forced Proximity Paranormal Werewolf Romance,Jaymin Snow,4.5,1094.0,,/Chased-Grumpy-Alpha-Forbidden-Paranormal-ebook/dp/B0FYJHK4VC/ref=zg_bs_g_6190484011_d_sccl_31/132-4763799-3799248?psc=1,"A runaway bride. A cold wolf guard who kept me alive. Until I discovered he was the prince sent to hunt me—my fated mate. Astra They called me disposable. Forced me into a mating I never wanted. So I ran—straight into the arms of a cold wolf guard. Silent. Dangerous. Untouchable. He saved me. Protected me. Stayed far too close. And when blood spilled, his wolf snapped. That’s when I learned the truth. He isn’t my protector. He’s the deadly prince sent to hunt me. And worse… he’s my fated mate. Lucian Love was never mine to want. My life was duty—a throne, a political marriage, a kingdom waiting to chain me. Then I was sent to hunt down her. Small. Stubborn. Reckless. She should’ve been forgettable. Instead, she made me fall. Now nothing else matters. Not the crown. Not the council. Not the enemies waiting. She’s mine. And I’d burn the kingdom to ash before anyone else touches her. One-click now to dive into a world of royal intrigue, forbidden love, and fated bonds that defy all odds! ⭐⭐⭐⭐⭐ Perfect For Readers Who Love: ✔️ Runaway brides and forbidden love ✔️ Fated mates with a deadly twist ✔️ Cold, duty-bound Alpha heirs who fall for the one they’re supposed to hunt ✔️ Tense, slow-burn romance with sizzling chemistry ⭐⭐⭐⭐⭐ Each book in this series delivers intense, slow-burn romance, powerful fated mates, and heroes who will stop at nothing to claim their love.",,"November 6, 2025"
32,Fated to the Wolf Prince: A Fated Mates Wolf Shifter Paranormal Romance (The Hunted Omegas Book 1),April L. Moon,4.4,25147.0,,/Fated-Wolf-Prince-Shifter-Paranormal-ebook/dp/B0CB95LXNN/ref=zg_bs_g_6190484011_d_sccl_32/132-4763799-3799248?psc=1,"Great Pack Gathering . Three little words, one mandate that ruined my life. I'm a doctor and a researcher. My pack is small, in a quiet part of central Texas. It's a simple existence, and I like it that way. It's just me and my two besties, living our best single lives. That is, until the mandate comes. Every unmated wolf in the entire world, called to one place. I'm a psi, the weakest designation there is. I can barely shift, and there's no chance of me getting matched—only humiliated . It can't get worse, until it does. I've barely made it off the bus when I lock eyes with the hottest wolf I've ever seen, and he reeks of power. There's no way he'll be interested in me, a psi wolf who can barely hold her shift. Until my wolf starts acting crazy, my magic goes on the fritz, and I'm suddenly wielding way more power than a lowly psi. Goddess only knows what's going on, but there isn't much time for me to figure it out. Oh, and there's one more little thing. Mr. Hottie McPowerful? He's the prince of the shifter world, and my fated mate, whether he wants to be, or not. One-click now to dive into this steamy wolf-shifter romance. ★★★★★ If you love: Wolf Shifters Fated Mates (but not insta-love) IYTHIKY ✨ Vibes ✨ Cinnamon Roll Hero Supportive Girl Besties This is the book for you! ★★★★★ This new paranormal romance from April L. Moon contains a HEA for our main couple. The story arc spans multiple books, but each one contains a new couple and a new romance, while still bringing in familiar faces until our world's problems are solved. Read less",Thigpen-Gandy Publishing,"March 19, 2024"
33,Crowned By The King-Sized Alpha,Olivia T. Turner,4.6,298.0,,/Crowned-King-Sized-Alpha-Olivia-Turner-ebook/dp/B0G3YLHSHZ/ref=zg_bs_g_6190484011_d_sccl_33/132-4763799-3799248?psc=1,"Life in the village is kind of boring. But all of that changes when the wolves come. These wolf shifters haven't been in the human kingdom for centuries, but here they are, rounding up all the women. The Wolf King is desperately searching for his mate. He's huge. Dangerous. Terrifyingly beautiful. And out of everyone, King Alaric picks me. He says I'm his one true fated mate. That the moon and the gods and fate chose me to be by his side. With a crown on my head. This powerful, dominant king wants me to be his queen. He demands it. He wants heirs. Lots of them. Enough princes and princesses to fill his castle. I should say no. I should fight him. But my body says yes. And my heart is already his. Because once a Wolf King chooses you... There is no escape. Glamour. Intrigue. Desire hot enough to burn down a palace. These possessive princes and kings won't settle for just any woman. They want their queen. The one true love who can bring these powerful royals to their knees. New standalone stories by your favorite best-selling steamy romance authors, Hope Ford, Olivia T. Turner, and Michele Mills. A crown has never been so sinful. Read less",Olivia T. Turner,"March 3, 2026"
34,The Primal of Blood and Bone: A Blood and Ash Novel,Jennifer L. Armentrout,,11407.0,,/Primal-Blood-Bone-Ash-Novel-ebook/dp/B0DLHZ6GXJ/ref=zg_bs_g_6190484011_d_sccl_34/132-4763799-3799248?psc=1,"In the shadows and flames, Primals will fall… And from the blood and ash, new gods will rise. What was dreamt. Poppy was never meant to awaken, and the consequences are devastating and far-reaching, stirring ancient powers from their slumber and transforming Casteel and Kieran in ways even the Fates couldn’t have foreseen. But what that means is the least of their concerns. For now. What was foreseen. The Blood Crown has fallen, but what has risen is a far greater danger than they’ve ever faced. From flesh and fire, the Great Conspirator has returned to the mortal realm, and he wants only one thing. They must stop the true Primal of Death before he regains his strength, and it won’t be easy. Even weakened, his influence is undeniable. His power, unthinkable. Has come to be. While the future of the realms rests upon them, they won’t stand alone. The gods have awakened—each harboring their own blood-soaked secrets. But they must navigate an unbalanced realm, where every choice—past and present—has the potential to not only undo everything they’ve fought for but also destroy the very bonds that have Joined them together. For the Harbinger and the Bringer of Death and Destruction has risen. Read less",Blue Box Press,"September 23, 2025"
35,Shift of the Wild (Shifter Lords Book 7),S.E. Babin,4.8,327.0,,/Shift-Wild-Shifter-Lords-Book-ebook/dp/B0FPJYMSJL/ref=zg_bs_g_6190484011_d_sccl_35/132-4763799-3799248?psc=1,"When Mother Earth comes calling, you'd better answer the door… Evie has asked for sanctuary with Rowan, and he's accepted, allowing her into his territory to lick her wounds and heal. Things are good for a while, until strange occurrences start happening when Rowan and Evie are together. With similar magic, Evie feels like she's found a kindred soul in the Shifter Lord, but other forces are about to shatter her rest and respite time and plunge them both into a type of danger they've never experienced before. Someone is poisoning Rowan's land and attempting to wrest his territory away from him. This time, the Lord isn't powerful enough to win. But the enemy never counted on the fae heir and Floromancer's visit, and one thing Evie is very good at is fighting for her friends. Complications arise when Caelan figures out where she is and attempts to bring her home. But Evie never abandons a friend, and certainly not for a man who wouldn't fight for her when she needed him to. Between fighting Caelan and fighting for Rowan, Evie is mentally and physically exhausted, something the enemy jumps on. When the chips are down and the future looks grim, Evie will have to muster all her strength and power to fight back for Rowan, for herself, and to save Mother Earth from total annihilation. Even if she loses herself in the process. Read less",Oliver Heber Books,"March 3, 2026"
36,From Blood and Ash,Jennifer L. Armentrout,4.6,80385.0,,/Blood-Ash-Jennifer-L-Armentrout-ebook/dp/B086JMSSVH/ref=zg_bs_g_6190484011_d_sccl_36/132-4763799-3799248?psc=1,"Captive and action-packed, From Blood and Ash is a sexy, addictive, and unexpected fantasy perfect for fans of Sarah J. Maas and Rebecca Yarros. A Maiden… Chosen from birth to usher in a new era, Poppy’s life has never been her own. The life of the Maiden is solitary. Never to be touched. Never to be looked upon. Never to be spoken to. Never to experience pleasure. Waiting for the day of her Ascension, she would rather be with the guards, fighting back the evil that took her family, than preparing to be found worthy by the gods. But the choice has never been hers. A Duty… The entire kingdom’s future rests on Poppy’s shoulders, something she’s not even quite sure she wants for herself. Because a Maiden has a heart. And a soul. And longing. And when Hawke, a golden-eyed guard honor bound to ensure her Ascension, enters her life, destiny and duty become tangled with desire and need. He incites her anger, makes her question everything she believes in, and tempts her with the forbidden. A Kingdom… Forsaken by the gods and feared by mortals, a fallen kingdom is rising once more, determined to take back what they believe is theirs through violence and vengeance. And as the shadow of those cursed draws closer, the line between what is forbidden and what is right becomes blurred. Poppy is not only on the verge of losing her heart and being found unworthy by the gods, but also her life when every blood-soaked thread that holds her world together begins to unravel.",Blue Box Press,"March 30, 2020"
37,A Shadow in the Ember (Flesh and Fire Book 1),Jennifer L. Armentrout,4.7,37828.0,,/Shadow-Ember-Flesh-Fire-Book-ebook/dp/B08Z2ZJSR3/ref=zg_bs_g_6190484011_d_sccl_37/132-4763799-3799248?psc=1,"#1 New York Times bestselling author Jennifer L. Armentrout returns with book one of the all-new, compelling Flesh and Fire series—set in the beloved Blood and Ash world. Born shrouded in the veil of the Primals, a Maiden as the Fates promised, Seraphena Mierel’s future has never been hers. Chosen before birth to uphold the desperate deal her ancestor struck to save his people, Sera must leave behind her life and offer herself to the Primal of Death as his Consort. However, Sera’s real destiny is the most closely guarded secret in all of Lasania—she’s not the well protected Maiden but an assassin with one mission—one target. Make the Primal of Death fall in love, become his weakness, and then…end him. If she fails, she dooms her kingdom to a slow demise at the hands of the Rot. Sera has always known what she is. Chosen. Consort. Assassin. Weapon. A specter never fully formed yet drenched in blood. A monster . Until him. Until the Primal of Death’s unexpected words and deeds chase away the darkness gathering inside her. And his seductive touch ignites a passion she’s never allowed herself to feel and cannot feel for him. But Sera has never had a choice. Either way, her life is forfeit—it always has been, as she has been forever touched by Life and Death.",Blue Box Press,"October 19, 2021"
38,Reborn (Shadow Beast Shifters Book 3),Jaymin Eve,4.6,20287.0,,/Reborn-Shadow-Beast-Shifters-Book-ebook/dp/B08RWMTPCR/ref=zg_bs_g_6190484011_d_sccl_38/132-4763799-3799248?psc=1,"The epic conclusion to the Shadow Beast Shifters. I finally have the life I always dreamed of. So why does it taste like ash on my tongue? Growing up in Torma, the strongest of the shifter packs, I wanted nothing more than to find my true mate and live my best life. Of course, that dream existed before my father betrayed the pack and turned me into their punching bag. I’d all but given up, until a quirk of true mate genetics gifted me a true mate like no other. My childhood dreams were finally a reality. Funny how quickly dreams turn into nightmares. I’m being lied to, missing weeks and months of time. Someone messed with me and no matter how often I’m told to forget it and move on as Torin’s mate, there’s no way I can. Whoever did this to me should have known I’d pick at it until it bled. It’s my nature after all. As I search out random growls, flutters in my chest, and a suspicion that there’s so much more going on than I could even imagine, I sense that I’m racing against an unknown clock. I need to get to the bottom of this mystery. And when I figure out who stole my memories, they’re going to wish they never messed with Mera Callahan. Game on. *If you like sexy, dark paranormal romances, with humor, steam, action, a tough heroine and an antihero, this is for you. Reborn is full length (115k) words, and is the final in the Shadow Beast Shifters series, and does NOT end on a cliffhanger. It's recommended for 18+ due to language and sexual situations.",,"March 30, 2021"
39,Promised in Blood (Broken Bloodlines Book 2),Sadie Kincaid,4.4,19417.0,,/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8SR1DW/ref=zg_bs_g_6190484011_d_sccl_39/132-4763799-3799248?psc=1,"The second installment of the bestselling paranormal/ fantasy romance from Sadie Kincaid. But there is one who can save the fates of all. For the child borne of fire and blood, Shall be our ruin or our redemption. An ancient prophecy. A betrayal so deep it will echo through eternity. Ophelia Hart is no ordinary elementai. In fact, she is extraordinary in every single way there is. And now that she knows her true heritage and has bonded to the most powerful vampire who ever lived, and the three ruthless vampires he sired, she wonders if she might finally know some true happiness. It seems at last within her reach—so long as the truth of her identity remains a closely guarded secret. But secrets can’t remain so forever. Ophelia must learn to harness the magical abilities she’s awakened before the rest of the world discovers who she really is. And although her four bonded mates will do all in their power to protect her, there are forces at work that even they cannot fathom. Destiny beckons, but betrayal lurks just around the corner. And debts will be settled for oaths that are PROMISED IN BLOOD . Please note: Promised in Blood ends in a cliffhanger, but Book 3 in the trilogy will have the HEA you’re waiting for.",Red House Press Ltd,"December 4, 2024"
40,Don't Feed the Vampire (Coastal Creatures Book 1),Grae Bryan,4.5,864.0,,/Dont-Feed-Vampire-Coastal-Creatures-ebook/dp/B0DQ45KFKR/ref=zg_bs_g_6190484011_d_sccl_40/132-4763799-3799248?psc=1,"Riley has been alone in the woods for a long time. Turned as a child, he’s hungrier and more fractured than the average vampire, and staying clear of humans is his safest bet. His moms think a mate could help him stabilize, but it’s unclear whether Riley has one, anomaly that he is. Until a new baker arrives in town, smelling so sweet and so perfect that Riley can barely stop himself from eating him up on the spot. Now it’s no longer a question of whether Riley has a mate, but whether Riley can pretend to be less of a monster long enough to woo him. Romance has never been Seth’s priority. He’s always been more focused on family and friendships and his passion for feeding delicious baked goods to whoever will take them. So it’s odd that this too young, too quiet, too beautiful man keeps showing up at Seth’s door, looking at Seth like he’s something special instead of painfully ordinary. And it’s even more odd that Seth can’t keep his own boundaries straight or his hands to himself. And it’s maybe oddest of all that Seth is coming to feel like Riley’s unnerving, unwavering attention is something he might not be able to live without. Don’t Feed the Vampire is a heated MM paranormal romance with a HEA and no cliffhanger. It contains a broken, sweetheart vampire with zero social skills; a ray of sunshine human baker; fated mates and the vampire mothers determined to protect them; and a mysterious research institute raising everyone’s suspicions. Each book in this series will focus on a different couple. Read less",,"February 19, 2026"
41,The Wolf Queen: A Fantasy Romance,Lauren Palphreyman,,,,/Wolf-Queen-Fantasy-Romance-ebook/dp/B0GGBVWGB1/ref=zg_bs_g_6190484011_d_sccl_41/132-4763799-3799248?psc=1,,,
42,Knot in Doubt: A Small Town Omegaverse Romance (Finding Home Book 1),Ember L. Nicole,4.2,879.0,,/Promises-Omegaverse-Ember-L-Nicole-ebook/dp/B0FG87MSM2/ref=zg_bs_g_6190484011_d_sccl_42/132-4763799-3799248?psc=1,"Hiding was safe, being claimed was salvation... Maisie spends her days wiping spills from diner tables, her head bent low to avoid the penetrating gazes of the alphas who drift through the door. Her bruises have almost faded, and life is looking brighter. Down the street, construction is nearing its end, and with it, the routine visits from the workers who have made a habit of stopping by for a slice of her homemade pie. Maisie isn't sure if that's a good thing or not. She thinks she’ll miss them, but she knows better than to put her trust in any man. Not again. Wyatt, Elias, Knox, and Hunter have been quietly watching over the skittish omega for longer than she knows, ready to act if the man responsible for her fading bruises ever shows up. They want her. They've always wanted her, and will do bad things to anyone who dares lay a hand on her. When her past unexpectedly resurfaces in the form of her abusive ex-husband, four rugged alphas protect her. They claim her, publicly and unequivocally, as their omega. Then they take her to their rural farmhouse to escape her stubborn ex. Four men. One promise. She will never be afraid again. Tropes: - Why choose - Wounded bird - Hurt/comfort - MFMMM (no MM) - Protective heroes Read less",,"January 30, 2026"
43,The Venom in our Vows: A Reverse Harem Fantasy Romance,Talia Shepstone,4.3,1240.0,,/Venom-our-Vows-Reverse-Fantasy-ebook/dp/B0FV7W4WLD/ref=zg_bs_g_6190484011_d_sccl_43/132-4763799-3799248?psc=1,"The pack wanted me dead. Instead, they’ll kneel—or bleed for the monsters who claim me. I was the runt. The outcast. The weak little wolf born to be broken. Then they tossed me in a dungeon with a starving vampire chained to the wall. Death by suffering, or strike a bargain with the devil in the dark? I chose the bargain. My blood for his freedom... and his vengeance. He should have killed me. Instead, he kissed salvation into my veins. My blood bound us in ways I never expected, and awakened a power I never knew I had. Now four exiled immortals—dangerous, devoted, and utterly mine—crave me. My blood. My magic. My heart . The pack that broke me thought I was prey. They were so wrong. I’m the venom in the vows that bind monsters. “THE VENOM IN OUR VOWS is a standalone fantasy reverse harem romance—perfect for fans of monster romance, vampires, werewolves, and dark magics.” Read less",,"October 9, 2025"
44,Primal: A Rejected Mate Omegaverse Romance (The Prey Drive Series Book 1),Kayleigh King,,2925.0,,/Primal-Rejected-Omegaverse-Romance-Drive-ebook/dp/B0DSZ57DKN/ref=zg_bs_g_6190484011_d_sccl_44/132-4763799-3799248?psc=1,"From USA Today Bestselling Author, Kayleigh King, comes a new angsty rejected omega romance duet. Fated Mates: Two characters who are destined to be together. But what happens when you’re rejected by your fated mate? ""I, Rennick Fallamhain, Pack Alpha, reject you, Noa Alderwood, as my mate..."" I never planned on returning to the pack that exiled me, but life has a way of forcing you to face your ghosts.I’m a shifter without access to her wolf. Latent. A weakness in their mighty ranks. For eight years, I stayed away. I built a life, found a new purpose. But Fate—that conniving b!tch—has me crawling back to the people who cast me out. I’m not sure what I expected to find upon my return, but I can tell you with certainty I never expected him . Rennick Fallamhain. The pack’s new Alpha. One innocent touch has my trapped wolf raging against her chains. Without thought, I’ve opened my big mouth and claimed him as my mate. Right in front of the woman he’s already promised to. Oops. What to Expect: M/F Wolf Shifters Rejected Fated Mate Omegaverse Designations (a/b/o) Mutual Pining/Slow Burn He's technically betrothed to someone else (Political Alliance) Groveling So. Much. Angst. NOTE: Primal is book ONE of Rennick & Noa's Duet. While this book does end on a cliffhanger, an HEA is always guaranteed and will be delivered in Book two. Which is now live! *All TW/CW will be available on the author's website. *Updated manuscript with additional edits uploaded 9.16.25",,"April 4, 2025"
45,Witch Fire: A why choose paranormal academy romance (Starfall Academy Book 1),Lyra Mishon,4.4,1856.0,,/Witch-Fire-paranormal-academy-Starfall-ebook/dp/B0FX4G5Z99/ref=zg_bs_g_6190484011_d_sccl_45/132-4763799-3799248?psc=1,"Finding four soul-bonded mates should be a blessing for a magically incompetent witch, except they have no clue who or what I am. Nobody does. Not even me. Officially, I don’t exist. At least I didn’t until I’m sent to Starfall Academy for the most powerful magicals, where students hone their skills and learn control. Alaric Vane is the son of the Mage Council leader. A storm mage with a serious attitude problem who enjoys making my life miserable when he’s not sending my magic haywire. Zane Vanyx is the last of his kind, the only son of an insane mass-murderer. Everyone’s afraid of the incubus, but he’s taken to stalking me, which is concerning. Maverick Wilder, our bear shifter PT instructor, is huge, fierce, and strangely protective. He claims he’s my mate, which can’t be true because faculty and students are forbidden from fraternizing. And that includes being together in his office after hours… Kai Seathorne is a shy, sweet merman, and one of the few students who doesn’t make fun of me. I’d love to get to know him better, but in our elitist society, witches and lesser magicals don’t mix. Or kiss . Sadly, my confusing love life is the least of my concerns. I can’t afford to let my guard down. Not with vicious hellhounds hunting me. --- Witch Fire is book 1 in a new paranormal magic academy series. This book ends on a cliff and is perfect for fans of Eve Newton, KC Kean, and Morgan B Lee.",,"November 11, 2025"
46,Clash of Claws (Shifter Guardians Academy Book 1),Elizabeth Dear,4.7,4669.0,,/Clash-Claws-Shifter-Guardians-Academy-ebook/dp/B0FNRMCTRC/ref=zg_bs_g_6190484011_d_sccl_46/132-4763799-3799248?psc=1,"In the world of the shifter elite, a safe female is one without power. For me, that means hide or die. When wraiths invade my neighborhood and shit goes sideways, becoming a Guardian might be the only way to earn myself—and my beast—protection. The elite training program begins at the local shifter college, so I pack up my swords and my brother, and off to school I go. It’s no surprise that Guardian training is sexist as hell. But I didn’t expect to be trapped inside the campus walls, battling magical simulations rather than joining the real forces as they wage war on the monsters outside. For me, the stakes are higher than bragging rights and points on the leaderboard. I won’t be distracted, especially not by the pull I feel to the most powerful quad of males in the program. Heath Blackwell, the dominant Alpha wolf and quad leader; Wyatt Gale, the cocky playboy bear shifter; Aiden Blackwell, the uptight jaguar who’s also my professor; And Elijah Harrow, the terrifying yet entrancing basilisk. I’ll fight this infuriating attraction because I know the score. Powerful quads want a central bond, and that will never be my future. Become a Guardian. Stay alive. Nothing else matters. This is a paranormal romance set at a supernatural college in present-day USA. It is a “why choose” romance, which means our heroine will have multiple love interests and will get her happily ever after with ALL of them by the end of the series. This is book 1 of 3, and it will end in a cliffhanger. It is intended for readers aged 18+ and contains foul language and spicy scenes. Detailed content warnings can be found in the Author’s Note. Happy reading!",Elizabeth Dear Publishing LLC,"October 24, 2025"
47,Crescent Kingdom (The Wolves of Crescent Creek Book 1),Tessa Hale,4.4,13044.0,,/Crescent-Kingdom-Wolves-Creek-Book-ebook/dp/B0D852YJZ5/ref=zg_bs_g_6190484011_d_sccl_47/132-4763799-3799248?psc=1,"Never stop running. And no matter what, never let the world know who you really are. I’ve spent my whole life hiding. Training. Preparing. Hoping that no one will discover my secrets. What I can do. Who I am. And I’ve gotten so good at it, sometimes even I forget. Until them. The wolf pack with a ruthless reputation and a penchant for revenge. The protective fighter. The charming Brit. The shy hacker. The silent mercenary. The cruel assassin. They see more than anyone ever has before. And even with demons of their own, they give me sanctuary. A place to hide, to rest, and maybe even a place to belong. Only it turns into so much more. Because when they touch me, everything around me ignites, and nothing matters but them. But these wolves have secrets. And those secrets bring enemies. And when they find out who I really am? It’s not their enemies I need to fear. It’s them. Read more",,"April 23, 2025"
48,Night Owl Bridge (A Story in the World of the Sea Wicche Book 2),Seana Kelly,4.7,239.0,,/Night-Bridge-Story-World-Wicche-ebook/dp/B0GQJ3JLX9/ref=zg_bs_g_6190484011_d_sccl_48/132-4763799-3799248?psc=1,"Owl shifter Orla’s quiet life of reading is once again disturbed. This time, Nick—bear-shifter, cop, and possible boyfriend—asks her to help him investigate an odd disappearance at a local bridge. Orla can’t see anything amiss, but she definitely feels something off. The bones she spies under the bridge lead her to believe they’re dealing with a bigger problem than Nick suspects. Orla must once again put down her book and help save her little corner of the world. Read more",NYLA,"February 27, 2026"
49,A Kingdom of Flesh and Fire (Blood and Ash Book 2),Jennifer L. Armentrout,4.6,69616.0,,/Kingdom-Flesh-Fire-Blood-Book-ebook/dp/B08BZ61HDF/ref=zg_bs_g_6190484011_d_sccl_49/132-4763799-3799248?psc=1,"From #1 New York Times bestselling author Jennifer L. Armentrout comes a new novel in her Blood and Ash series… Is Love Stronger Than Vengeance? A Betrayal… Everything Poppy has ever believed in is a lie, including the man she was falling in love with. Thrust among those who see her as a symbol of a monstrous kingdom, she barely knows who she is without the veil of the Maiden. But what she does know is that nothing is as dangerous to her as him. The Dark One. The Prince of Atlantia. He wants her to fight him, and that’s one order she’s more than happy to obey. He may have taken her, but he will never have her. A Choice…. Casteel Da’Neer is known by many names and many faces. His lies are as seductive as his touch. His truths as sensual as his bite. Poppy knows better than to trust him. He needs her alive, healthy, and whole to achieve his goals. But he’s the only way for her to get what she wants—to find her brother Ian and see for herself if he has become a soulless Ascended. Working with Casteel instead of against him presents its own risks. He still tempts her with every breath, offering up all she’s ever wanted. Casteel has plans for her. Ones that could expose her to unimaginable pleasure and unfathomable pain. Plans that will force her to look beyond everything she thought she knew about herself—about him. Plans that could bind their lives together in unexpected ways that neither kingdom is prepared for. And she’s far too reckless, too hungry, to resist the temptation. A Secret… But unrest has grown in Atlantia as they await the return of their Prince. Whispers of war have become stronger, and Poppy is at the very heart of it all. The King wants to use her to send a message. The Descenters want her dead. The wolven are growing more unpredictable. And as her abilities to feel pain and emotion begin to grow and strengthen, the Atlantians start to fear her. Dark secrets are at play, ones steeped in the blood-drenched sins of two kingdoms that would do anything to keep the truth hidden. But when the earth begins to shake, and the skies start to bleed, it may already be too late.",Blue Box Press,"September 1, 2020"
50,Bound in Blood (Broken Bloodlines Book 3),Sadie Kincaid,4.4,17024.0,,/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0DDY763WZ/ref=zg_bs_g_6190484011_d_sccl_50/132-4763799-3799248?psc=1,"The final installment of the bestselling paranormal/urban fantasy romance from Sadie Kincaid comes Bound in Blood . But if the chosen one can slay the three-headed dragon— If the untamable beast does kneel at its new master’s feet, and the light is tempted back from the darkness, then they shall awaken the protector of man. And the sun must swallow the shadows to bring a balance that reigns through the ages. When the lines between good and evil grow increasingly blurred, it becomes impossible to distinguish the heroes from the villains. Ophelia Hart must call on powers old and new to save her fated mates and to stop darkness from consuming the world. Promises will be made. Oaths will be sworn and secrets revealed. And those who are bound in blood have no option but to fight until the end. A war is coming. And everyone must choose a side. Read less",Red House Press Ltd,"March 31, 2025"
51,Eldrith Manor,Leigh Rivers,4.2,2044.0,,/Eldrith-Manor-Leigh-Rivers-ebook/dp/B0FDF3H3CD/ref=zg_bs_g_6190484011_d_sccl_1/134-1708754-9990356?psc=1,"ONE GHOST. ONE DEMON. ONE HAUNTED MANOR. The Ghost What happens when someone accidentally summons a demon? They die and become a ghost. I didn’t believe in Heaven or Hell. I thought the pain would stop, and I’d taste sweet oblivion. But I was wrong. Hell does exist. It’s not just a place, but a person too. His name is Lynx. Night after night, day after day, I try to escape and break free of the cage I’ve been damned into. I can’t hide from him, and he can’t outrun me. I’m trapped in the manor with the monster who killed me. The Demon Be careful who you steal from. They might just come for your soul. They called me a sinner, then stuck a blade through my heart and cursed my soul to an eternity in flames, turning me into the demon they claimed I was. For centuries, I suffered and screamed. Made other souls wish they were never born. It was an endless cycle I couldn’t break until one day, she called me forward. A little human who played with someone else’s toys. I thought I could get rid of her, but I was wrong. I can’t escape her no matter what I do. At least, I know one thing for certain. Sable looks pretty for a dead thing. Read less",Leigh Rivers & Avina St. Graves,"February 4, 2026"
